code,state,category,elevation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AL,Alabama,state,500,,9.4,-0.2,,5.9,-0.9,-0.3,-7.1,-4.2,-3.3,-2,-1,-1.3,0.1,0.4,0.8,0.9
AK,Alaska,state,1900,,,,,,,,2,1.1,-3.2,-10.9,-10.3,-10.5,-11.9,-13.1,-12.1,-10.1
AZ,Arizona,state,4100,,,15.8,,19.4,-16.3,-5.7,-5,0.6,3.3,3,2.2,3.2,3,3.8,3.9,4.1
AR,Arkansas,state,650,-13.3,-8.3,-10.6,-9.3,-11.7,-11,-9.4,-7.5,-9.6,-14.1,-10.8,-13.8,-10.5,-11.8,-8.7,-5.1,-3.9
CA,California, state,2900,6.5,5.5,7.3,7.6,8.4,7.6,8.6,7.8,10.2,11.2,11.3,11.2,10.7,10.7,11.5,11.2,11.8
CO,Colorado,state,6800,-0.4,0,3,,3.9,3.8,0.6,-4.9,3.4,4.3,3.8,4.4,5.4,4.9,5,4.6,5.5
CT,Connecticut,state,500,4,5,5.2,4.6,6.5,7.6,6.9,7.2,3.7,-2.7,0.9,-3.6,-2.7,0,-0.1,0.2,0.2
DE,Delaware,state,60,-6.4,-8.7,-13.8,-9.6,-8,-8.8,-8,-6.7,-13.2,-14,-14.2,-15.5,-14.6,-13.5,-17.1,-14.5,-16
DC,District of Columbia,state,150,,15.9,,,,,,,-12.8,-16.6,-15.6,-17.4,-16.2,-15.9,-19.2,-19.5,-21.9
FL,Florida,state,100,16.1,,6.2,-6.7,-5.1,-0.8,-5,3.7,7,7.6,7.6,7.2,6.7,6.9,6.8,5.2,5.8
GA,Georgia,state,600,17.2,,2.3,,-2.6,-1,18.2,2.3,4.9,5.5,6,6,6.1,6.3,6.1,5.1,5.9
HI,Hawaii,state,3030,,,,-4.9,,4,-0.9,-2.6,-23.1,4.9,-0.1,-0.6,4.7,0.7,-2.7,-14.6,-23
ID,Idaho,state,5000,,-4.5,1.1,-0.4,-3.9,0.9,1.1,1.6,1.1,-3,-3.9,-1.1,-1.3,-7.1,-0.3,-0.9,0.7
IL,Illinois,state,600,17.1,16.1,18.3,19.2,13.1,14.8,4.3,9.3,-6.2,-2.4,0.1,5.8,5.3,4.8,5.5,5,5.7
IN,Indiana,state,700,7.3,8.4,9.3,6.8,7.6,9.6,6.9,7.3,-0.4,7.6,8,7.7,7.6,7.5,7.6,8.3,8
IA,Iowa,state,1100,4.7,,6.6,7.9,4.8,3.3,6.4,6.6,4.6,1.9,5.6,6.1,6.4,6,5.4,5.9,5.7
KS,Kansas,state,2000,0.6,1.7,1.9,4,1.6,1.6,-5.2,-7.1,-2.2,2.3,1.9,2.7,3.4,2,2.4,3.3,3.1
KY,Kentucky,state,750,-5.9,-1.9,-3.2,-5.3,-7.2,-5.8,-10,-2.1,1.2,1.5,1.8,2.2,1.6,1.5,1.3,2.1,2
LA,Louisiana,state,100,,,,,8.5,,12.7,,-15.3,-13.9,-17.2,-8.5,-12.3,-11.4,-10.7,-13.9,-15.8
ME,Maine,state,600,-1.8,-2.4,-8.1,-7,-8.6,-9.2,-9.7,-9.9,-13.4,-7.8,-8.4,-9.4,-9.2,-7.3,-7.7,-8.4,-7.6
MD,Maryland,state,350,,12.4,-7.2,12.9,12.8,9.1,13.6,6.8,-12.8,0.8,2.6,2.2,2.4,2,1.8,2.9,3.6
MA,Massachusetts,state,500,8.3,10.7,9.2,10.3,-5,-2.1,0.6,0.5,-1.3,4.5,4.5,4.7,5.2,5.9,5.1,5.7,5.1
MI,Michigan,state,900,5.4,4.8,5.3,7.2,5.9,7.6,8,6.9,6.3,8.1,8.7,6.9,9,8.4,8.5,8.7,8.7
MN,Minnesota,state,1200,4.5,5.7,4.4,8.8,6.5,7.9,8.8,7.6,1.4,5.5,6.3,6.6,6.3,6.1,6.2,5.6,6.3
MS,Mississippi,state,300,-13.9,-18.1,-19.4,-11.6,-11.6,-18.6,-12.8,,-14.3,-11.3,-9.3,-8.8,-9.5,-9.3,-7.1,-6.6,-7.3
MO,Missouri,state,800,14.9,,13.9,9.6,5.6,0.2,2.6,1.9,4.2,4.4,4.9,5,4.8,4.7,4.5,4.5,5
MT,Montana,state,3400,16.6,16.1,,,,,,,,-6.6,2,-8.7,-12.4,-15.1,-12,-13.1,-15
NE,Nebraska,state,2600,-0.7,0.4,-0.1,2.5,5.9,2.8,3.4,3.4,1,-4.6,0.4,-2.9,-5.3,-3.1,-1.4,-0.9,0.7
NV,Nevada,state,5500,-6,-8.5,-6.4,-7.5,-3.2,-6.4,-5.3,-3.9,-5.5,-11.9,-9.3,-12.2,-13.7,-13.9,-10.4,-8.4,-9.3
NH,New Hampshire,state,1000,0.9,3.4,3.7,3.3,4.9,7.7,9.3,7.5,-8,-10.6,-10.6,-11.3,-12.5,-9.8,-9.1,-7.2,-6.4
NJ,New Jersey,state,250,-4.2,-0.5,-1.8,-1.3,0,4.8,5.9,2.2,7.3,7.6,7.8,7.5,8,8.2,8.1,7.7,8.1
NM,New Mexico,state,5700,,,,0.7,2.8,2.8,3.2,0,-3.6,-7.4,-6.3,-8.7,-4.6,-2.7,-3.5,-4.7,-3.2
NY,New York,state,1000,0.3,16.4,16.2,18.8,3.9,5.3,-5.9,2.5,6.3,8.1,7.3,6.7,8.2,8.3,7.7,7.4,8.2
NC,North Carolina,state,700,1.1,2.5,0.2,-2.1,0,-0.8,1.1,-5.7,4.3,5.7,6.1,5.7,5.5,6.5,6.4,5.7,5.3
ND,North Dakota,state,1900,,,-4.4,2.9,-4.3,-6,-3,-2.6,-8.5,-5.2,-7.9,-8.6,-9.6,-9.8,-9.8,-10.4,-8.5
OH,Ohio,state,850,7.3,8,7.7,6.8,7.6,7.3,9.2,-4,9.4,9.3,9.4,8.4,9.2,8.9,9.1,9.4,9.4
OK,Oklahoma,state,1300,,-10.2,-1.5,0.5,-2.5,-4.6,-3.1,-1.7,-1.6,-4.7,-5.4,-3.2,-1.3,-3,-2,0.4,-0.7
OR,Oregon,state,3300,1.4,3.3,4.5,5.6,4.5,6.8,5.1,5.6,3.3,0.4,1.3,3,0.4,4.5,4.8,5,4.9
PA,Pennsylvania,state,1100,,,7.7,4.5,6.8,8.2,5.9,-6.1,7.6,8,7.8,7,7.6,7.7,7.4,7.1,7.9
RI,Rhode Island,state,200,,,,,,,6.6,3.8,1,-12.6,-12.8,-13.4,-14.9,-13.9,-14.5,-12.9,-12.8
SC,South Carolina,state,350,,2.2,1.9,,,,13.7,,-0.9,0.5,0.9,1.4,1.1,2,2.3,1.5,1.3
SD,South Dakota,state,2200,15.9,-0.3,0.4,0.5,-1.2,1.2,3.1,1.5,-2.4,-5.1,-7.9,-6.6,-6.6,-8.9,-10.1,-9.1,-7.8
TN,Tennessee,state,900,,6.8,4,3.5,2.1,-15.7,-13.6,-8.9,-0.3,0.2,1.2,1.4,1.2,1.8,2.1,2.1,1.7
TX,Texas,state,1700,3,4,1.8,4.8,9.1,4.7,5,6,8.5,9.6,10.2,10.4,9.2,9.1,10.4,10,10.9
UT,Utah,state,6100,17.8,20.3,17.5,,10.1,8.3,11.6,5.9,9.4,-3.1,-8,-1.9,-0.1,-9.8,1.3,-1.2,1.4
VT,Vermont,state,1000,-6.9,-8.1,-8,-11.8,-6.8,-9.8,-17.3,-17.9,-16.4,-14.7,-17.3,-17.5,-21.9,-16.7,-17.1,-16.3,-14.7
VA,Virginia,state,950,12.7,7.3,-2.4,,,11.9,7.3,-10.7,5.8,6.3,6.7,6.3,6.4,6.7,6.7,6.7,6.9
WA,Washington,state,1700,1.5,4.8,4,5.1,7.5,2.7,3.6,3.6,4.7,6.8,5.8,7.4,6.1,7.8,8,8,7.7
WV,West Virginia,state,1500,-10,-7.3,2.1,0.8,0.1,2.2,-2.6,2.1,-10.9,-12.2,-13,-14.8,-13,-15.4,-14.8,-14,-13
WI,Wisconsin,state,1050,4.2,6,7.3,7,5.5,5.3,6.9,5.3,-0.4,6.2,6.4,6.2,6.4,6.4,6.4,6.4,6.6
WY,Wyoming,state,6700,7.2,5.9,-2.8,-4.2,-4.2,-3.1,-4.1,-4,-6.3,-10.6,-14.5,-14.6,-12.2,-11,-13.2,-12.2,-12.1
